gene,gene_id,uniprot,protein_class,molec_function,conc_thpa_ugl,conc_inter_bgs_average_ugl,conc_inter_geyer_ppd_ugl,top15bgs_thpa,top15bgs_thpa_log,mars14,sepromix20,,
Granulin precursor,ENSG00000030582,P28799,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Cytokine,91,,,91,1.959041392,0,0,,
Laminin subunit gamma 1,ENSG00000135862,P11047,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,90,,50,90,1.954242509,0,0,,
Nidogen 1,ENSG00000116962,P14543,"Plasma proteins, Predicted secreted proteins",,90,,42,90,1.954242509,0,0,,
Cofilin 2,ENSG00000165410,Q9Y281,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Actin-binding,90,,,90,1.954242509,0,0,,
Parvin beta,ENSG00000188677,Q9HBI1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Actin-binding,90,,,90,1.954242509,0,0,,
Enolase 2,ENSG00000111674,P09104,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted intracellular proteins",Lyase,89,208,,89,1.949390007,0,0,,
GDP dissociation inhibitor 2,ENSG00000057608,P50395,"Plasma proteins, Predicted intracellular proteins",GTPase activation,89,,29,89,1.949390007,0,0,,
Prolactin induced protein,ENSG00000159763,P12273,"Plasma proteins, Predicted secreted proteins",Actin-binding,89,,22,89,1.949390007,0,0,,
Contactin 4,ENSG00000144619,Q8IWV2,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,89,,,89,1.949390007,0,0,,
LDL receptor related protein 1,ENSG00000123384,Q07954,"Candidate cardiovascular disease genes, CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Developmental protein, Receptor",88,,5410,88,1.944482672,0,0,,
Multimerin 2,ENSG00000173269,Q9H8L6,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,86,,230,86,1.934498451,0,0,,
Prosaposin,ENSG00000197746,P07602,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",,86,,,86,1.934498451,0,0,,
Leukotriene A4 hydrolase,ENSG00000111144,P09960,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins","Hydrolase, Metalloprotease, Protease",85,,25,85,1.929418926,0,0,,
Cathepsin Z,ENSG00000101160,Q9UBR2,"Enzymes, Plasma proteins, Predicted intracellular proteins","Hydrolase, Protease, Thiol protease",85,,12,85,1.929418926,0,0,,
Brain abundant membrane attached signal protein 1,ENSG00000176788,P80723,"Plasma proteins, Predicted intracellular proteins, Transporters",,85,,7.3,85,1.929418926,0,0,,
TIMP metallopeptidase inhibitor 2,ENSG00000035862,P16035,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Metalloenzyme inhibitor, Metalloprotease inhibitor, Protease inhibitor",83,,92.7,83,1.919078092,0,0,,
Exostosin like glycosyltransferase 2,ENSG00000162694,Q9UBQ6,"Enzymes, Plasma proteins, Predicted intracellular proteins","Glycosyltransferase, Transferase",83,,,83,1.919078092,0,0,,
Uromodulin,ENSG00000169344,P07911,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",,83,,,83,1.919078092,0,0,,
Calnexin,ENSG00000127022,P27824,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Chaperone,82,,,82,1.913813852,0,0,,
Talin 2,ENSG00000171914,Q9Y4G6,"Plasma proteins, Predicted intracellular proteins",,81,,,81,1.908485019,0,0,,
Adipocyte plasma membrane associated protein,ENSG00000101474,Q9HDC9,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,80,,29,80,1.903089987,0,0,,
Proteasome subunit alpha 2,ENSG00000106588,P25787,"Enzymes, Plasma proteins, Predicted intracellular proteins","Hydrolase, Protease, Threonine protease",80,,,80,1.903089987,0,0,,
Keratin 84,ENSG00000161849,Q9NSB2,"Plasma proteins, Predicted intracellular proteins",,79,,,79,1.897627091,0,0,,
Chromogranin A,ENSG00000100604,P10645,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins","Antibiotic, Antimicrobial, Fungicide",78,,84,78,1.892094603,0,0,,
Chloride intracellular channel 1,ENSG00000213719,O00299,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters","Chloride channel, Ion channel, Voltage-gated channel",78,,22,78,1.892094603,0,0,,
Annexin A1,ENSG00000135046,P04083,"Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters",Phospholipase A2 inhibitor,77,,6.2,77,1.886490725,0,0,,
Heat shock protein family A (Hsp70) member 2,ENSG00000126803,P54652,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Chaperone,77,,,77,1.886490725,0,0,,
ARP2 actin related protein 2 homolog,ENSG00000138071,P61160,"Plasma proteins, Predicted intracellular proteins",Actin-binding,76,,,76,1.880813592,0,0,,
"Protein tyrosine phosphatase, receptor type M",ENSG00000173482,P28827,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Hydrolase, Protein phosphatase, Receptor",76,,,76,1.880813592,0,0,,
Ezrin,ENSG00000092820,P15311,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",,75,,47,75,1.875061263,0,0,,
Calmodulin like 5,ENSG00000178372,Q9NZT1,"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins",,75,,8.1,75,1.875061263,0,0,,
"Amylase, alpha 2B (pancreatic)",ENSG00000240038,P19961,"Enzymes, Plasma proteins, Predicted secreted proteins","Glycosidase, Hydrolase",75,,,75,1.875061263,0,0,,
Tyrosine kinase with immunoglobulin like and EGF like domains 1,ENSG00000066056,P35590,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Kinase, Receptor, Transferase, Tyrosine-protein kinase",75,,,75,1.875061263,0,0,,
SH3 domain binding glutamate rich protein like 3,ENSG00000142669,Q9H299,"Plasma proteins, Predicted intracellular proteins",,73,,,73,1.86332286,0,0,,
Surfactant protein B,ENSG00000168878,P07988,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,71,,,71,1.851258349,0,0,,
Keratin 78,ENSG00000170423,Q8N1N4,"Plasma proteins, Predicted intracellular proteins",,71,,,71,1.851258349,0,0,,
Dystroglycan 1,ENSG00000173402,Q14118,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Host cell receptor for virus entry, Receptor",70,,34,70,1.84509804,0,0,,
GDP dissociation inhibitor 1,ENSG00000203879,P31150,"Disease related genes, Plasma proteins, Predicted intracellular proteins",GTPase activation,70,,29,70,1.84509804,0,0,,
Mannosidase alpha class 2A member 1,ENSG00000112893,Q16706,"Enzymes, Plasma proteins, Predicted membrane proteins","Glycosidase, Hydrolase",70,,3.9,70,1.84509804,0,0,,
Golgi membrane protein 1,ENSG00000135052,Q8NBJ4,"Plasma proteins, Predicted intracellular proteins",,70,,,70,1.84509804,0,0,,
"MET proto-oncogene, receptor tyrosine kinase",ENSG00000105976,P08581,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins","Kinase, Receptor, Transferase, Tyrosine-protein kinase",70,,,70,1.84509804,0,0,,
Neuronal cell adhesion molecule,ENSG00000091129,Q92823,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,70,,,70,1.84509804,0,0,,
Adhesion G protein-coupled receptor G6,ENSG00000112414,Q86SQ4,"Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins","G-protein coupled receptor, Receptor, Transducer",70,,,70,1.84509804,0,0,,
Calsyntenin 1,ENSG00000171603,O94985,"Cancer-related genes, Plasma proteins, Predicted membrane proteins",,70,,,70,1.84509804,0,0,,
Parkinsonism associated deglycase,ENSG00000116288,Q99497,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Chaperone, Hydrolase, Protease, RNA-binding",69,,23,69,1.838849091,0,0,,
Actinin alpha 2,ENSG00000077522,P35609,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Actin-binding,69,,,69,1.838849091,0,0,,
Bisphosphoglycerate mutase,ENSG00000172331,P07738,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Hydrolase, Isomerase",69,,,69,1.838849091,0,0,,
CD9 molecule,ENSG00000010278,P21926,"Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins, Transporters",,68,,,68,1.832508913,0,0,,
ADAMTS like 2,ENSG00000197859,Q86TH1,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,67,,,67,1.826074803,0,0,,
Notch 2,ENSG00000134250,Q04721,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Activator, Developmental protein, Receptor",67,,,67,1.826074803,0,0,,
Alpha-L-fucosidase 1,ENSG00000179163,P04066,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Glycosidase, Hydrolase",65,,3.9,65,1.812913357,0,0,,
Out at first homolog,ENSG00000184232,Q86UD1,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,65,,,65,1.812913357,0,0,,
Endothelial cell adhesion molecule,ENSG00000149564,Q96AP7,"Plasma proteins, Predicted membrane proteins",,64,,4.6,64,1.806179974,0,0,,
Ficolin 1,ENSG00000085265,O00602,"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",,63,,1890,63,1.799340549,0,0,,
NPC intracellular cholesterol transporter 2,ENSG00000119655,P61916,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters",,63,,230,63,1.799340549,0,0,,
Malate dehydrogenase 1,ENSG00000014641,P40925,"Cancer-related genes, Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,63,,,63,1.799340549,0,0,,
Phosphatidylethanolamine binding protein 1,ENSG00000089220,P30086,"Plasma proteins, Predicted intracellular proteins","Protease inhibitor, Serine protease inhibitor",62,,190,62,1.792391689,0,0,,
Aldehyde dehydrogenase 1 family member A1,ENSG00000165092,P00352,"Enzymes, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,62,,120,62,1.792391689,0,0,,
Heat shock protein 90 alpha family class B member 1,ENSG00000096384,P08238,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Chaperone,62,,88,62,1.792391689,0,0,,
Protein kinase C substrate 80K-H,ENSG00000130175,P14314,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,62,,15,62,1.792391689,0,0,,
Keratinocyte differentiation associated protein,ENSG00000188508,P60985,"Plasma proteins, Predicted secreted proteins",,62,,,62,1.792391689,0,0,,
Suprabasin,ENSG00000189001,Q6UWP8,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,62,,,62,1.792391689,0,0,,
Junction plakoglobin,ENSG00000173801,P14923,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",,61,,210,61,1.785329835,0,0,,
Regenerating family member 1 alpha,ENSG00000115386,P05451,"Plasma proteins, Predicted secreted proteins",,61,,,61,1.785329835,0,0,,
AXL receptor tyrosine kinase,ENSG00000167601,P30530,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins","Host cell receptor for virus entry, Kinase, Receptor, Transferase, Tyrosine-protein kinase",61,,,61,1.785329835,0,0,,
G protein subunit beta 1,ENSG00000078369,P62873,"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins, Transporters",Transducer,60,,2.5,60,1.77815125,0,0,,
Phosphoglycerate mutase 2,ENSG00000164708,P15259,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Hydrolase, Isomerase",60,,,60,1.77815125,0,0,,
Phosphogluconate dehydrogenase,ENSG00000142657,P52209,"Enzymes, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,59,,29,59,1.770852012,0,0,,
Bleomycin hydrolase,ENSG00000108578,Q13867,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins","Hydrolase, Protease, Thiol protease",59,,3.3,59,1.770852012,0,0,,
Family with sequence similarity 3 member C,ENSG00000196937,Q92520,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Developmental protein,59,,,59,1.770852012,0,0,,
Peptidylglycine alpha-amidating monooxygenase,ENSG00000145730,P19021,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Lyase, Monooxygenase, Multifunctional enzyme, Oxidoreductase",59,,,59,1.770852012,0,0,,
Reelin,ENSG00000189056,P78509,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Developmental protein, Hydrolase, Protease, Serine protease",59,,,59,1.770852012,0,0,,
L1 cell adhesion molecule,ENSG00000198910,P32004,"CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Developmental protein,59,,,59,1.770852012,0,0,,
Myosin heavy chain 14,ENSG00000105357,Q7Z406,"Disease related genes, Plasma proteins, Predicted intracellular proteins","Actin-binding, Calmodulin-binding, Motor protein, Myosin",59,,,59,1.770852012,0,0,,
Collagen type I alpha 1 chain,ENSG00000108821,P02452,"Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,58,,390,58,1.763427994,0,0,,
Chitinase 1,ENSG00000133063,Q13231,"Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins","Glycosidase, Hydrolase",58,,,58,1.763427994,0,0,,
Neurotrimin,ENSG00000182667,Q9P121,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,58,,,58,1.763427994,0,0,,
Plexin D1,ENSG00000004399,Q9Y4D7,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Developmental protein, Receptor",58,,,58,1.763427994,0,0,,
Matrix metallopeptidase 9,ENSG00000100985,P14780,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Hydrolase, Metalloprotease, Protease",57,44.3,,57,1.755874856,0,0,,
Heat shock protein family B (small) member 1,ENSG00000106211,P04792,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Chaperone,57,,5.3,57,1.755874856,0,0,,
Selenium binding protein 1,ENSG00000143416,Q13228,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Oxidoreductase,57,,,57,1.755874856,0,0,,
Plexin B1,ENSG00000164050,O43157,"Plasma proteins, Predicted membrane proteins",Receptor,55,,,55,1.740362689,0,0,,
Eukaryotic translation elongation factor 1 alpha 2,ENSG00000101210,Q05639,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Elongation factor,55,,,55,1.740362689,0,0,,
Fc fragment of IgG receptor IIa,ENSG00000143226,P12318,"CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","IgG-binding protein, Receptor",55,,,55,1.740362689,0,0,,
Stratifin,ENSG00000175793,P31947,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,54,,180,54,1.73239376,0,0,,
Contactin 3,ENSG00000113805,Q9P232,"Plasma proteins, Predicted intracellular proteins",,54,,,54,1.73239376,0,0,,
Secreted phosphoprotein 1,ENSG00000118785,P10451,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",Cytokine,54,,,54,1.73239376,0,0,,
Filamin C,ENSG00000128591,Q14315,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Actin-binding,54,,,54,1.73239376,0,0,,
Tryptophanyl-tRNA synthetase,ENSG00000140105,P23381,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Aminoacyl-tRNA synthetase, Ligase",53,,6,53,1.72427587,0,0,,
Heat shock protein family D (Hsp60) member 1,ENSG00000144381,P10809,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Chaperone, Isomerase",53,,5.1,53,1.72427587,0,0,,
Alpha-L-fucosidase 2,ENSG00000001036,Q9BTY2,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Glycosidase, Hydrolase",53,,1.3,53,1.72427587,0,0,,
Protein disulfide isomerase family A member 6,ENSG00000143870,Q15084,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Chaperone, Isomerase",53,,,53,1.72427587,0,0,,
Actin related protein 2/3 complex subunit 1B,ENSG00000130429,O15143,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Actin-binding,53,,,53,1.72427587,0,0,,
"Isocitrate dehydrogenase (NADP(+)) 2, mitochondrial",ENSG00000182054,P48735,"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,53,,,53,1.72427587,0,0,,
Syntaxin binding protein 2,ENSG00000076944,Q15833,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,53,,,53,1.72427587,0,0,,
ATP synthase F1 subunit alpha,ENSG00000152234,P25705,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,51,,2.5,51,1.707570176,0,0,,
Carboxypeptidase Q,ENSG00000104324,Q9Y646,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Carboxypeptidase, Hydrolase, Metalloprotease, Protease",51,,,51,1.707570176,0,0,,
Clathrin heavy chain,ENSG00000141367,Q00610,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",,51,,,51,1.707570176,0,0,,
Plexin B2,ENSG00000196576,O15031,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Developmental protein, Receptor",51,,,51,1.707570176,0,0,,
Creatine kinase B,ENSG00000166165,P12277,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins","Kinase, Transferase",50,,65,50,1.698970004,0,0,,
Adenosine deaminase 2,ENSG00000093072,Q9NZK5,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Heparin-binding, Hydrolase",50,,7.7,50,1.698970004,0,0,,
Serglycin,ENSG00000122862,P10124,"Plasma proteins, Predicted intracellular proteins",,50,,,50,1.698970004,0,0,,
Calpain small subunit 1,ENSG00000126247,P04632,"Plasma proteins, Predicted intracellular proteins",,50,,,50,1.698970004,0,0,,
Heat shock protein family A (Hsp70) member 1 like,ENSG00000204390,P34931,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",,49,27.6,,49,1.69019608,0,0,,
Rho GDP dissociation inhibitor alpha,ENSG00000141522,P52565,"Disease related genes, Plasma proteins, Predicted intracellular proteins",GTPase activation,49,,11,49,1.69019608,0,0,,
Myosin heavy chain 1,ENSG00000109061,P12882,"Plasma proteins, Predicted intracellular proteins","Actin-binding, Calmodulin-binding, Motor protein, Muscle protein, Myosin",49,,,49,1.69019608,0,0,,
Serpin family B member 1,ENSG00000021355,P30740,"Plasma proteins, Predicted intracellular proteins","Protease inhibitor, Serine protease inhibitor",49,,,49,1.69019608,0,0,,
Myotrophin,ENSG00000105887,P58546,"Plasma proteins, Predicted intracellular proteins",,48,,18,48,1.681241237,0,0,,
KIT proto-oncogene receptor tyrosine kinase,ENSG00000157404,P10721,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, RAS pathway related proteins","Kinase, Receptor, Transferase, Tyrosine-protein kinase",48,,8.2,48,1.681241237,0,0,,
"Beta-1,4-glucuronyltransferase 1",ENSG00000174684,O43505,"Disease related genes, Plasma proteins, Predicted intracellular proteins","Glycosyltransferase, Transferase",48,,3.3,48,1.681241237,0,0,,
Malate dehydrogenase 2,ENSG00000146701,P40926,"Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Oxidoreductase,47,,15,47,1.672097858,0,0,,
Peptidoglycan recognition protein 1,ENSG00000008438,O75594,"Plasma proteins, Predicted secreted proteins","Antibiotic, Antimicrobial",47,,,47,1.672097858,0,0,,
"Papilin, proteoglycan like sulfated glycoprotein",ENSG00000100767,O95428,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",46,,,46,1.662757832,0,0,,
Integrin subunit alpha 2,ENSG00000164171,P17301,"Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins","Host cell receptor for virus entry, Integrin, Receptor",46,,,46,1.662757832,0,0,,
Angiopoietin like 3,ENSG00000132855,Q9Y5C1,"Disease related genes, Plasma proteins, Predicted secreted proteins",Heparin-binding,45,,12,45,1.653212514,0,0,,
Capping actin protein of muscle Z-line alpha subunit 1,ENSG00000116489,P52907,"Plasma proteins, Predicted intracellular proteins","Actin capping, Actin-binding",45,,4.6,45,1.653212514,0,0,,
Integrin subunit alpha 6,ENSG00000091409,P23229,"Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Integrin, Receptor",45,,,45,1.653212514,0,0,,
"Spectrin alpha, erythrocytic 1",ENSG00000163554,P02549,"Disease related genes, Plasma proteins, Predicted intracellular proteins","Actin capping, Actin-binding",45,,,45,1.653212514,0,0,,
Solute carrier family 38 member 10,ENSG00000157637,Q9HBR0,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,44,,3.3,44,1.643452676,0,0,,
Aminolevulinate dehydratase,ENSG00000148218,P13716,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins","Allosteric enzyme, Lyase",44,,,44,1.643452676,0,0,,
"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",ENSG00000170340,Q9NY97,"Enzymes, Plasma proteins, Predicted membrane proteins","Glycosyltransferase, Transferase",43,,5.8,43,1.633468456,0,0,,
Hexosaminidase subunit beta,ENSG00000049860,P07686,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Glycosidase, Hydrolase",43,,1.5,43,1.633468456,0,0,,
Corticotropin releasing hormone binding protein,ENSG00000145708,P24387,"Plasma proteins, Predicted secreted proteins",,43,,,43,1.633468456,0,0,,
Podocalyxin like,ENSG00000128567,O00592,"Plasma proteins, Predicted membrane proteins",,43,,,43,1.633468456,0,0,,
"Spectrin beta, erythrocytic",ENSG00000070182,P11277,"Disease related genes, Plasma proteins, Predicted intracellular proteins","Actin capping, Actin-binding",43,,,43,1.633468456,0,0,,
Cell division cycle 42,ENSG00000070831,P60953,"Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins",Hydrolase,42,,,42,1.62324929,0,0,,
Myosin heavy chain 2,ENSG00000125414,Q9UKX2,"Disease related genes, Plasma proteins, Predicted intracellular proteins","Actin-binding, Calmodulin-binding, Motor protein, Muscle protein, Myosin",42,,,42,1.62324929,0,0,,
Glycoprotein nmb,ENSG00000136235,Q14956,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,41,,,41,1.612783857,0,0,,
EH domain containing 3,ENSG00000013016,Q9NZN3,"Plasma proteins, Predicted intracellular proteins",,41,,,41,1.612783857,0,0,,
F11 receptor,ENSG00000158769,Q9Y624,"CD markers, Plasma proteins, Predicted membrane proteins","Host cell receptor for virus entry, Receptor",41,,,41,1.612783857,0,0,,
Villin 1,ENSG00000127831,P09327,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins","Actin capping, Actin-binding",41,,,41,1.612783857,0,0,,
V-set and immunoglobulin domain containing 4,ENSG00000155659,Q9Y279,"Plasma proteins, Predicted membrane proteins",,41,,,41,1.612783857,0,0,,
Metallothionein 2A,ENSG00000125148,P02795,"Plasma proteins, Predicted intracellular proteins",,40,,,40,1.602059991,0,0,,
Cystatin A,ENSG00000121552,P01040,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins","Protease inhibitor, Thiol protease inhibitor",39,,16,39,1.591064607,0,0,,
Transaldolase 1,ENSG00000177156,P37837,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Transferase,39,,15,39,1.591064607,0,0,,
Calponin 2,ENSG00000064666,Q99439,"Plasma proteins, Predicted intracellular proteins","Actin-binding, Calmodulin-binding",39,,,39,1.591064607,0,0,,
ADAM metallopeptidase with thrombospondin type 1 motif 13,ENSG00000160323,Q76LX8,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Hydrolase, Metalloprotease, Protease",38,,,38,1.579783597,0,0,,
Laminin subunit alpha 2,ENSG00000196569,P24043,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,38,,,38,1.579783597,0,0,,
Transforming growth factor beta 1,ENSG00000105329,P01137,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Growth factor, Mitogen",38,,,38,1.579783597,0,0,,
Actin related protein 2/3 complex subunit 3,ENSG00000111229,O15145,"Plasma proteins, Predicted intracellular proteins",Actin-binding,38,,,38,1.579783597,0,0,,
ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,ENSG00000174437,P16615,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Translocase,38,,,38,1.579783597,0,0,,
Glutamyl aminopeptidase,ENSG00000138792,Q07075,"CD markers, Enzymes, Plasma proteins, Predicted membrane proteins","Aminopeptidase, Hydrolase, Metalloprotease, Protease",37,,2.1,37,1.568201724,0,0,,
Glucosidase II alpha subunit,ENSG00000089597,Q14697,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins","Glycosidase, Hydrolase",37,,,37,1.568201724,0,0,,
Filamin B,ENSG00000136068,O75369,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters","Actin-binding, Developmental protein",37,,,37,1.568201724,0,0,,
"RAB27B, member RAS oncogene family",ENSG00000041353,O00194,"Plasma proteins, Predicted intracellular proteins",Hydrolase,37,,,37,1.568201724,0,0,,
Reversion inducing cysteine rich protein with kazal motifs,ENSG00000122707,O95980,"Plasma proteins, Predicted membrane proteins","Protease inhibitor, Serine protease inhibitor",37,,,37,1.568201724,0,0,,
Ciliary neurotrophic factor receptor,ENSG00000122756,P26992,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Receptor,36,,,36,1.556302501,0,0,,
Leukocyte immunoglobulin like receptor B5,ENSG00000105609,O75023,"CD markers, Plasma proteins, Predicted membrane proteins",Receptor,36,,,36,1.556302501,0,0,,
Solute carrier family 2 member 1,ENSG00000117394,P11166,"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,36,,,36,1.556302501,0,0,,
"Argonaute 2, RISC catalytic component",ENSG00000123908,Q9UKV8,"Enzymes, Plasma proteins, Predicted intracellular proteins","Endonuclease, Hydrolase, Nuclease, Repressor, Ribonucleoprotein, RNA-binding",35,,,35,1.544068044,0,0,,
