uniprot,proteinName,mars14,QuantMethod,abundance,Rank,ppm
A0A0A0MS15,Immunoglobulin heavy variable 3-49,0,depleted,112870.5390625,1452,0.683332412092054
P36969,Phospholipid hydroperoxide glutathione peroxidase,0,depleted,112667.8828125,1453,0.682105505715171
P23490,Loricrin,0,depleted,112614.328125,1454,0.681781278914341
Q9UKX2,Myosin-2,0,depleted,112576.4921875,1455,0.681552215399181
O75563,Src kinase-associated phosphoprotein 2,0,depleted,112537.296875,1456,0.681314922057129
P01700,Immunoglobulin lambda variable 1-47,0,depleted,112418.71875,1457,0.6805970352033
P35030,Trypsin-3,0,depleted,112380.765625,1458,0.680367262220305
Q96CG8,Collagen triple helix repeat-containing protein 1,0,depleted,112111.0078125,1459,0.678734114560806
P50452,Serpin B8,0,depleted,111767.28125,1460,0.67665315080353
O95154,Aflatoxin B1 aldehyde reductase member 3,0,depleted,111678.3359375,1461,0.676114664716374
Q14644,Ras GTPase-activating protein 3,0,depleted,111066.296875,1462,0.672409303402904
O75503,Ceroid-lipofuscinosis neuronal protein 5,0,depleted,110818.7109375,1463,0.670910387057885
Q96AP7,Endothelial cell-selective adhesion molecule,0,depleted,110135.0234375,1464,0.666771257109781
Q9Y5Z4,Heme-binding protein 2,0,depleted,109585.5234375,1465,0.663444515131198
P04216,Thy-1 membrane glycoprotein,0,depleted,109354.328125,1466,0.662044829687439
O75351,Vacuolar protein sorting-associated protein 4B,0,depleted,109283.609375,1467,0.661616689497634
P49591,"Serine--tRNA ligase, cytoplasmic",0,depleted,108912.7578125,1468,0.659371507585364
O43488,Aflatoxin B1 aldehyde reductase member 2,0,depleted,108757.359375,1469,0.658430705937616
O60656,,0,depleted,108701.59375,1470,0.658093093843623
Q9NWV4,CXXC motif containing zinc binding protein,0,depleted,108605.5859375,1471,0.657511850494913
P17050,Alpha-N-acetylgalactosaminidase,0,depleted,108603.2109375,1472,0.65749747194678
Q06520,Sulfotransferase 2A1,0,depleted,108127.4296875,1473,0.654617032534591
P14222,Perforin-1,0,depleted,107696.84765625,1474,0.65201023486656
P06133,UDP-glucuronosyltransferase 2B4,0,depleted,107471.765625,1475,0.650647559994887
P01236,Prolactin,0,depleted,107452.203125,1476,0.650529126164211
Q6UXI9,Nephronectin,0,depleted,107217.15234375,1477,0.649106099228664
Q8IZA0,Dyslexia-associated protein KIAA0319-like protein,0,depleted,107053.5546875,1478,0.648115658481358
Q16539,Mitogen-activated protein kinase 14,0,depleted,106865.8125,1479,0.646979043711008
Q96I15,Selenocysteine lyase,0,depleted,106764.515625,1480,0.646365779713989
P28482,Mitogen-activated protein kinase 1,0,depleted,106729.6171875,1481,0.646154500192573
Q13683,Integrin alpha-7,0,depleted,106691.234375,1482,0.645922125827514
P21810,Biglycan,0,depleted,106618.2109375,1483,0.645480032770277
Q9Y2V2,Calcium-regulated heat-stable protein 1,0,depleted,106269.4375,1484,0.643368514598218
Q9BYF1,Angiotensin-converting enzyme 2,0,depleted,106164.59375,1485,0.642733777374711
Q9NVA2,Septin-11,0,depleted,106154.9140625,1486,0.642675175331498
Q96QH2,PML-RARA-regulated adapter molecule 1,0,depleted,105799.2734375,1487,0.640522082344278
P06756,Integrin alpha-V,0,depleted,105634.1015625,1488,0.639522111079048
P30038,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",0,depleted,105230.90625,1489,0.637081116044177
Q15366,Poly(rC)-binding protein 2,0,depleted,104974.6015625,1490,0.635529415292195
Q8WXD2,Secretogranin-3,0,depleted,104751.8125,1491,0.63418062234117
Q96L96,Alpha-protein kinase 3,0,depleted,104666.8359375,1492,0.633666163564711
Q53FA7,Quinone oxidoreductase PIG3,0,depleted,104569.125,1493,0.633074609283459
P18627,Lymphocyte activation gene 3 protein,0,depleted,104289.88671875,1494,0.631384065676067
P10153,Non-secretory ribonuclease,0,depleted,104221.09375,1495,0.630967584407692
Q969T9,WW domain-binding protein 2,0,depleted,104085.6484375,1496,0.630147581483404
P28332,Alcohol dehydrogenase 6,0,depleted,104008.71875,1497,0.629681839498316
Q9UHN6,Cell surface hyaluronidase,0,depleted,102973.21875,1498,0.623412792512287
A0A0A0MT36,Immunoglobulin kappa variable 6D-21,0,depleted,102792.53125,1499,0.622318887705634
Q86VZ4,Low-density lipoprotein receptor-related protein 11,0,depleted,102678.390625,1500,0.621627866033843
Q9H159,Cadherin-19,0,depleted,102677.9453125,1501,0.621625170056068
P41439,Folate receptor gamma,0,depleted,102643.9609375,1502,0.621419424383769
Q9H251,Cadherin-23,0,depleted,102555.953125,1503,0.620886614039298
A0A0G2JS06,Immunoglobulin lambda variable 5-39,0,depleted,102368.7421875,1504,0.619753215523135
O75223,Gamma-glutamylcyclotransferase,0,depleted,102119.5859375,1505,0.61824479230912
P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",0,depleted,101992.5390625,1506,0.617475634579711
Q9NRB3,Carbohydrate sulfotransferase 12,0,depleted,101808.6875,1507,0.6163625741415
Q7L1Q6,eIF5-mimic protein 2,0,depleted,101723.1171875,1508,0.615844520728007
Q8NFY4,Semaphorin-6D,0,depleted,101721.4296875,1509,0.615834304391175
Q9Y617,Phosphoserine aminotransferase,0,depleted,101681.1640625,1510,0.615590531242893
O43768,Alpha-endosulfine,0,depleted,101396.6796875,1511,0.613868227125397
P98172,Ephrin-B1,0,depleted,101282.234375,1512,0.613175360837234
O95865,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",0,depleted,100782.3203125,1513,0.610148818348784
P0DJD8,Pepsin A-3,0,depleted,100777.890625,1514,0.610122000464602
Q9BRK5,45 kDa calcium-binding protein,0,depleted,100641.390625,1515,0.609295612329794
Q15126,Phosphomevalonate kinase,0,depleted,100433.7421875,1516,0.608038482623118
P01601,Immunoglobulin kappa variable 1D-16,0,depleted,100393.90625,1517,0.607797310856899
P29144,Tripeptidyl-peptidase 2,0,depleted,100224.3359375,1518,0.606770710898909
P28845,11-beta-hydroxysteroid dehydrogenase 1,0,depleted,100195.3828125,1519,0.606595425045682
P34913,Bifunctional epoxide hydrolase 2,0,depleted,100137.71875,1520,0.606246319572753
Q9Y6Y8,SEC23-interacting protein,0,depleted,100073.234375,1521,0.605855923071797
P03372,Estrogen receptor,0,depleted,100065.375,1522,0.605808341428962
Q9H939,Proline-serine-threonine phosphatase-interacting protein 2,0,depleted,99978.6328125,1523,0.605283193337114
Q92896,Golgi apparatus protein 1,0,depleted,99823.078125,1524,0.604341445732252
P47989,Xanthine dehydrogenase/oxidase,0,depleted,99770.359375,1525,0.604022279801981
P48147,Prolyl endopeptidase,0,depleted,99631.65625,1526,0.603182553671866
Q8WW52,Protein FAM151A,0,depleted,99542.34375,1527,0.602641844585493
Q5VVQ6,Ubiquitin thioesterase OTU1,0,depleted,99367.59375,1528,0.601583886149173
Q14117,Dihydropyrimidinase,0,depleted,99132.40625,1529,0.600160031501152
Q86SR1,Polypeptide N-acetylgalactosaminyltransferase 10,0,depleted,98771.4921875,1530,0.597975012461334
O95342,Bile salt export pump,0,depleted,98758.546875,1531,0.597896639914437
O00194,Ras-related protein Rab-27B,0,depleted,98543.078125,1532,0.596592165054204
P02730,Band 3 anion transport protein,0,depleted,98533.9296875,1533,0.596536779265179
P07585,Decorin,0,depleted,97588.1484375,1534,0.590810900854019
Q9Y3C8,Ubiquitin-fold modifier-conjugating enzyme 1,0,depleted,97490.453125,1535,0.590219441168478
Q16531,DNA damage-binding protein 1,0,depleted,97267.17578125,1536,0.588867692101472
P55263,Adenosine kinase,0,depleted,96669.9375,1537,0.585251936575627
Q9BYJ0,Fibroblast growth factor-binding protein 2,0,depleted,96665.078125,1538,0.585222517309382
P48507,Glutamate--cysteine ligase regulatory subunit,0,depleted,96635.1796875,1539,0.585041508415614
P20711,Aromatic-L-amino-acid decarboxylase,0,depleted,96505.3359375,1540,0.584255418053864
P50570,Dynamin-2,0,depleted,96177.7109375,1541,0.582271935177188
A0A075B6I1,Immunoglobulin lambda variable 4-60,0,depleted,96143.828125,1542,0.582066804377013
Q14103,Heterogeneous nuclear ribonucleoprotein D0,0,depleted,95610.162109375,1543,0.578835923327471
Q16555,Dihydropyrimidinase-related protein 2,0,depleted,95431.140625,1544,0.577752104788547
P22607,Fibroblast growth factor receptor 3,0,depleted,95345.578125,1545,0.57723409867291
O14672,Disintegrin and metalloproteinase domain-containing protein 10,0,depleted,95120.328125,1546,0.57587040689734
Q9H3G5,Probable serine carboxypeptidase CPVL,0,depleted,95105.6875,1547,0.575781770715756
A0A075B6S9,Probable non-functional immunoglobulinn kappa variable 1-37,0,depleted,94579.671875,1548,0.572597206091409
O94804,Serine/threonine-protein kinase 10,0,depleted,94575.2734375,1549,0.57257057739865
Q05707,Collagen alpha-1(XIV) chain,0,depleted,94363.265625,1550,0.571287055488492
Q9HAV7,"GrpE protein homolog 1, mitochondrial",0,depleted,94345.33203125,1551,0.571178483260731
O60476,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",0,depleted,94281.4375,1552,0.57079165774788
Q9BXX0,EMILIN-2,0,depleted,94085.421875,1553,0.569604954548343
Q9BYH1,Seizure 6-like protein,0,depleted,93452.828125,1554,0.565775152576524
Q05513,Protein kinase C zeta type,0,depleted,93392.2421875,1555,0.565408357705563
P30711,Glutathione S-transferase theta-1,0,depleted,93373.3359375,1556,0.565293896894766
Q9Y5Y6,Suppressor of tumorigenicity 14 protein,0,depleted,93320.2578125,1557,0.564972555263134
P61086,Ubiquitin-conjugating enzyme E2 K,0,depleted,93177.78125,1558,0.564109984268715
Q13477,Mucosal addressin cell adhesion molecule 1,0,depleted,93121.640625,1559,0.563770101877648
Q8WWQ8,Stabilin-2,0,depleted,92685.078125,1560,0.561127097701078
Q9Y2G1,Myelin regulatory factor,0,depleted,92572.625,1561,0.560446292366118
Q9UQ52,Contactin-6,0,depleted,92554.3515625,1562,0.560335662681633
Q9UKK9,ADP-sugar pyrophosphatase,0,depleted,92482.5,1563,0.559900664302752
P53597,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",0,depleted,92039.4453125,1564,0.557218355608094
A0A0J9YX35,Immunoglobulin heavy variable 3-64D,0,depleted,91947.296875,1565,0.556660477400101
O00339,Matrilin-2,0,depleted,91810.53125,1566,0.555832481138199
P20340,Ras-related protein Rab-6A,0,depleted,91761.546875,1567,0.555535923582954
P62906,60S ribosomal protein L10a,0,depleted,91568.8359375,1568,0.554369227376378
P25098,Beta-adrenergic receptor kinase 1,0,depleted,91500.15625,1569,0.553953431926911
P16671,Platelet glycoprotein 4,0,depleted,91294.3359375,1570,0.552707369918469
Q13797,Integrin alpha-9,0,depleted,90810.359375,1571,0.549777315055649
Q9NZL9,Methionine adenosyltransferase 2 subunit beta,0,depleted,90631.03125,1572,0.548691640075889
Q9UIA9,Exportin-7,0,depleted,90595.4609375,1573,0.548476292938883
O60271,C-Jun-amino-terminal kinase-interacting protein 4,0,depleted,90532.078125,1574,0.548092565435581
A8MPP1,Putative ATP-dependent RNA helicase DDX11-like protein 8,0,depleted,90123.8852539062,1575,0.545621314553641
O00764,Pyridoxal kinase,0,depleted,90043.140625,1576,0.545132476434391
O00560,Syntenin-1,0,depleted,89858.34375,1577,0.54401369295564
Q8IUZ5,5-phosphohydroxy-L-lysine phospho-lyase,0,depleted,89813.2890625,1578,0.543740926221813
Q68BL7,Olfactomedin-like protein 2A,0,depleted,89758.90625,1579,0.543411685848278
O43598,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,0,depleted,89745.2265625,1580,0.543328867302946
Q8NHL6,Leukocyte immunoglobulin-like receptor subfamily B member 1,0,depleted,89594.984375,1581,0.542419282239961
Q9NR99,Matrix-remodeling-associated protein 5,0,depleted,89547.6875,1582,0.542132941021547
Q8NFZ8,Cell adhesion molecule 4,0,depleted,89474.84375,1583,0.541691935814991
P58546,Myotrophin,0,depleted,89092.3671875,1584,0.539376374693438
Q92530,Proteasome inhibitor PI31 subunit,0,depleted,88982.0703125,1585,0.538708623566652
Q5T013,Putative hydroxypyruvate isomerase,0,depleted,88897.6015625,1586,0.538197239150813
O75995,SAM and SH3 domain-containing protein 3,0,depleted,88724.3984375,1587,0.537148645689923
Q07812,Apoptosis regulator BAX,0,depleted,88582.734375,1588,0.536290993672497
Q15631,Translin,0,depleted,88390.9609375,1589,0.535129973208605
Q14914,Prostaglandin reductase 1,0,depleted,88309.1484375,1590,0.534634670063705
P30626,Sorcin,0,depleted,88277.8984375,1591,0.534445478640901
Q96TA1,Protein Niban 2,0,depleted,88231.734375,1592,0.534165995611564
A0A075B6Q5,Immunoglobulin heavy variable 3-64,0,depleted,88187.4609375,1593,0.533897958663306
P07437,Tubulin beta chain,0,depleted,88016.734375,1594,0.532864358622673
Q9P2T1,GMP reductase 2,0,depleted,87799.953125,1595,0.531551937722682
P68106,Peptidyl-prolyl cis-trans isomerase FKBP1B,0,depleted,87799.44921875,1596,0.531548887010989
P01903,"HLA class II histocompatibility antigen, DR alpha chain",0,depleted,87648.625,1597,0.530635778257754
P14778,Interleukin-1 receptor type 1,0,depleted,87583.3125,1598,0.530240368184094
P13284,Gamma-interferon-inducible lysosomal thiol reductase,0,depleted,87543.28125,1599,0.529998013971482
Q02952,A-kinase anchor protein 12,0,depleted,87530.2734375,1600,0.52991926304174
P05771,Protein kinase C beta type,0,depleted,87359.7578125,1601,0.528886940043211
Q15181,Inorganic pyrophosphatase,0,depleted,86942.2421875,1602,0.526359248038839
P12532,"Creatine kinase U-type, mitochondrial",0,depleted,86752.546875,1603,0.525210808804564
P22528,Cornifin-B,0,depleted,86442.1875,1604,0.523331854188987
P53990,IST1 homolog,0,depleted,86325.9609375,1605,0.522628203989724
Q13162,Peroxiredoxin-4,0,depleted,86210.6171875,1606,0.521929898448155
Q6UXK5,Leucine-rich repeat neuronal protein 1,0,depleted,85939.125,1607,0.52028625066469
Q15019,Septin-2,0,depleted,85818.2578125,1608,0.51955450553914
O95379,Tumor necrosis factor alpha-induced protein 8,0,depleted,85563.46875,1609,0.518011980571164
P22102,Trifunctional purine biosynthetic protein adenosine-3,0,depleted,84598.125,1610,0.51216766832933
P63279,SUMO-conjugating enzyme UBC9,0,depleted,84558.9375,1611,0.511930422285133
Q14012,Calcium/calmodulin-dependent protein kinase type 1,0,depleted,84496.8359375,1612,0.511554451630166
Q9UJ68,Mitochondrial peptide methionine sulfoxide reductase,0,depleted,84124.8984375,1613,0.509302695315954
P12882,Myosin-1,0,depleted,83976.3046875,1614,0.508403090100522
Q5TDH0,Protein DDI1 homolog 2,0,depleted,83871.0390625,1615,0.507765798792807
P32121,Beta-arrestin-2,0,depleted,83777.8203125,1616,0.507201440778583
P55854,Small ubiquitin-related modifier 3,0,depleted,83512.5,1617,0.505595158301122
Q08495,Dematin,0,depleted,83458.375,1618,0.505267478756826
P28062,Proteasome subunit beta type-8,0,depleted,83227.4921875,1619,0.503869685227295
O75063,Glycosaminoglycan xylosylkinase,0,depleted,83164.7890625,1620,0.503490072637439
O15230,Laminin subunit alpha-5,0,depleted,83135.015625,1621,0.503309820509363
O43399,Tumor protein D54,0,depleted,83118.75,1622,0.503211346373793
P20138,Myeloid cell surface antigen CD33,0,depleted,82888.84375,1623,0.501819465076225
Q53H76,Phospholipase A1 member A,0,depleted,82696.578125,1624,0.500655464847424
Q8N335,Glycerol-3-phosphate dehydrogenase 1-like protein,0,depleted,82633.4765625,1625,0.500273440066927
P60660,Myosin light polypeptide 6,0,depleted,82619.828125,1626,0.500190810713018
P21860,Receptor tyrosine-protein kinase erbB-3,0,depleted,82584.0625,1627,0.499974281129619
P48304,Lithostathine-1-beta,0,depleted,82562.7890625,1628,0.499845489068545
Q9BUL8,Programmed cell death protein 10,0,depleted,82508.25,1629,0.499515302737896
Q9NR45,Sialic acid synthase,0,depleted,82502.4609375,1630,0.499480255026822
Q8WTU2,Scavenger receptor cysteine-rich domain-containing group B protein,0,depleted,82474.037109375,1631,0.499308173603318
Q9HB71,Calcyclin-binding protein,0,depleted,82438.0625,1632,0.499090378802279
Q9BZR6,Reticulon-4 receptor,0,depleted,82077.3203125,1633,0.496906400315286
P61106,Ras-related protein Rab-14,0,depleted,82022.5,1634,0.496574511261833
Q9NQ76,Matrix extracellular phosphoglycoprotein,0,depleted,81993.28125,1635,0.496397617281511
P61224,Ras-related protein Rap-1b,0,depleted,81979.28125,1636,0.496312859524095
P17405,Sphingomyelin phosphodiesterase,0,depleted,81974.7734375,1637,0.496285568661355
Q7Z5P9,Mucin-19,0,depleted,81891.65625,1638,0.495782366774553
Q504Y2,Extracellular tyrosine-protein kinase PKDCC,0,depleted,81718.10546875,1639,0.494731668559084
O95490,Adhesion G protein-coupled receptor L2,0,depleted,81038.7890625,1640,0.490619001761245
P07203,Glutathione peroxidase 1,0,depleted,81027.9140625,1641,0.490553163146109
P34931,Heat shock 70 kDa protein 1-like,0,depleted,80992.0756835938,1642,0.490336193101429
Q9UN37,Vacuolar protein sorting-associated protein 4A,0,depleted,80677.6953125,1643,0.488432894870746
Q30154,"HLA class II histocompatibility antigen, DR beta 5 chain",0,depleted,80639.53125,1644,0.488201844845646
P01814,Immunoglobulin heavy variable 2-70,0,depleted,80386.4140625,1645,0.486669441618791
P78536,Disintegrin and metalloproteinase domain-containing protein 17,0,depleted,80357.78125,1646,0.486496094977646
P49767,Vascular endothelial growth factor C,0,depleted,80243.7109375,1647,0.485805498986557
P48739,Phosphatidylinositol transfer protein beta isoform,0,depleted,80232.796875,1648,0.485739423882142
P16278,Beta-galactosidase,0,depleted,80110.9453125,1649,0.485001719226774
Q15436,Protein transport protein Sec23A,0,depleted,79899.3125,1650,0.483720467613691
Q06418,Tyrosine-protein kinase receptor TYRO3,0,depleted,79894.25,1651,0.483689818603196
Q08722,Leukocyte surface antigen CD47,0,depleted,79682.390625,1652,0.482407195352297
P51687,"Sulfite oxidase, mitochondrial",0,depleted,79640.9921875,1653,0.482156564014938
P50991,T-complex protein 1 subunit delta,0,depleted,79562.5390625,1654,0.481681598947989
Q9NTU7,Cerebellin-4,0,depleted,79535.359375,1655,0.481517049708005
Q9NRA1,Platelet-derived growth factor C,0,depleted,79314.15234375,1656,0.48017783457276
Q641Q3,Meteorin-like protein,0,depleted,78581.2578125,1657,0.475740799080524
P51148,Ras-related protein Rab-5C,0,depleted,78096.96484375,1658,0.472808828654548
O95084,Serine protease 23,0,depleted,78059.0234375,1659,0.472579126618336
Q7Z5R6,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,0,depleted,77902.40625,1660,0.471630946505099
P55291,Cadherin-15,0,depleted,77841.328125,1661,0.471261171869229
P48061,Stromal cell-derived factor 1,0,depleted,77580.03125,1662,0.469679247787454
O43451,Maltase-glucoamylase,0,depleted,77571.390625,1663,0.469626936359049
O95498,Pantetheine hydrolase VNN2,0,depleted,77410.1796875,1664,0.468650945106659
A0A0C4DH24,Immunoglobulin kappa variable 6-21,0,depleted,77305.91796875,1665,0.468019731573402
Q9BQS7,Hephaestin,0,depleted,77246.796875,1666,0.467661805050385
Q96DN2,von Willebrand factor C and EGF domain-containing protein,0,depleted,77091.3046875,1667,0.466720435828368
P68431,Histone H3.1,0,depleted,76862.765625,1668,0.465336831655548
P49593,Protein phosphatase 1F,0,depleted,76759.6640625,1669,0.464712641853862
P15170,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,0,depleted,76427.81640625,1670,0.46270359448618
P05413,"Fatty acid-binding protein, heart",0,depleted,76377.3359375,1671,0.462397979391568
Q9UBV8,Peflin,0,depleted,76250.203125,1672,0.461628301385746
P62879,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,0,depleted,76238.03125,1673,0.461554611326564
Q9UNU6,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase,0,depleted,75903.4609375,1674,0.45952908065617
Q8IZ83,Aldehyde dehydrogenase family 16 member A1,0,depleted,75860.5078125,1675,0.459269037045526
Q8N8K9,Uncharacterized protein KIAA1958,0,depleted,75834.0703125,1676,0.459108981101834
Q9BY76,Angiopoietin-related protein 4,0,depleted,75799.3671875,1677,0.45889888402681
Q8TEB7,E3 ubiquitin-protein ligase RNF128,0,depleted,75797.8359375,1678,0.458889613647092
A0A075B6K2,Immunoglobulin lambda variable 3-12,0,depleted,75554.890625,1679,0.457418792228359
Q15125,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",0,depleted,75513.015625,1680,0.457165275721802
Q9NNW7,"Thioredoxin reductase 2, mitochondrial",0,depleted,75375.0703125,1681,0.45633013748369
P09429,High mobility group protein B1,0,depleted,74745.2421875,1682,0.452517078952789
A6NI73,Leukocyte immunoglobulin-like receptor subfamily A member 5,0,depleted,74491.7421875,1683,0.450982358131004
Q7L591,Docking protein 3,0,depleted,74259.6953125,1684,0.449577517220973
P49419,Alpha-aminoadipic semialdehyde dehydrogenase,0,depleted,74180.2890625,1685,0.449096781815629
Q96NZ9,Proline-rich acidic protein 1,0,depleted,74152.7421875,1686,0.448930009576427
O95998,Interleukin-18-binding protein,0,depleted,74105.9140625,1687,0.448646506229356
P17612,cAMP-dependent protein kinase catalytic subunit alpha,0,depleted,74038.296875,1688,0.448237143288264
O00587,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe",0,depleted,74019.3203125,1689,0.448122256796766
P03956,Interstitial collagenase,0,depleted,73825.015625,1690,0.446945911827627
Q641Q2,WASH complex subunit 2A,0,depleted,73758.2890625,1691,0.446541940842085
Q9NS28,Regulator of G-protein signaling 18,0,depleted,73691.6796875,1692,0.446138679324378
O43747,AP-1 complex subunit gamma-1,0,depleted,73672.265625,1693,0.446021144152962
Q6ZWK6,Transmembrane protease serine 11F,0,depleted,73643.091796875,1694,0.44584452213531
Q6NUS6,Tectonic-3,0,depleted,73473.8515625,1695,0.444819920511724
A0A0C4DH36,Probable non-functional immunoglobulin heavy variable 3-38,0,depleted,73469.046875,1696,0.444790832330468
Q9Y2S2,Lambda-crystallin homolog,0,depleted,73412.9375,1697,0.444451139130823
Q9Y5F6,Protocadherin gamma-C5,0,depleted,72991.31640625,1698,0.441898592103281
Q9H1B5,Xylosyltransferase 2,0,depleted,72863.11328125,1699,0.441122434291228
Q4G0N4,"NAD kinase 2, mitochondrial",0,depleted,72817.921875,1700,0.440848839844926
Q12931,"Heat shock protein 75 kDa, mitochondrial",0,depleted,72686.1953125,1701,0.440051350699952
O75791,GRB2-related adapter protein 2,0,depleted,72636.109375,1702,0.439748124147053
Q6P988,Palmitoleoyl-protein carboxylesterase NOTUM,0,depleted,72511.703125,1703,0.438994953092871
P16871,Interleukin-7 receptor subunit alpha,0,depleted,72409.9296875,1704,0.438378803926654
Q0VAF6,Syncollin,0,depleted,72320.31640625,1705,0.437836273872836
Q8NFT8,Delta and Notch-like epidermal growth factor-related receptor,0,depleted,72132.578125,1706,0.436699682751414
Q5VZF2,Muscleblind-like protein 2,0,depleted,72110.2006835938,1707,0.436564206912106
Q9H2E6,Semaphorin-6A,0,depleted,72035.1484375,1708,0.436109831192967
Q8N9N7,Leucine-rich repeat-containing protein 57,0,depleted,71677.40625,1709,0.433944015082564
Q9BWS9,Chitinase domain-containing protein 1,0,depleted,71648.671875,1710,0.433770053569296
P42892,Endothelin-converting enzyme 1,0,depleted,71361.1875,1711,0.432029587075211
Q92686,Neurogranin,0,depleted,71295.953125,1712,0.431634649980108
Q14696,LRP chaperone MESD,0,depleted,71230.109375,1713,0.43123602365226
Q9NS62,Thrombospondin type-1 domain-containing protein 1,0,depleted,71225.1171875,1714,0.431205800322467
P17213,Bactericidal permeability-increasing protein,0,depleted,71005.0703125,1715,0.429873608918794
Q5SQ64,Lymphocyte antigen 6 complex locus protein G6f,0,depleted,70989.28125,1716,0.429778019952422
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,0,depleted,70957.8359375,1717,0.429587646083226
Q9BRK3,Matrix remodeling-associated protein 8,0,depleted,70954.6640625,1718,0.429568443153811
Q9Y644,"Beta-1,3-N-acetylglucosaminyltransferase radical fringe",0,depleted,70767.59375,1719,0.428435895999051
Q9H2X0,Chordin,0,depleted,70688.71875,1720,0.427958376847894
O15400,Syntaxin-7,0,depleted,70502.0390625,1721,0.426828194585919
Q8NHP1,Aflatoxin B1 aldehyde reductase member 4,0,depleted,70402.46875,1722,0.426225383415011
P30048,"Thioredoxin-dependent peroxide reductase, mitochondrial",0,depleted,70261.15625,1723,0.425369859801091
Q7Z7M9,Polypeptide N-acetylgalactosaminyltransferase 5,0,depleted,70224.390625,1724,0.425147276092163
Q9NT99,Leucine-rich repeat-containing protein 4B,0,depleted,70146.875,1725,0.424677986767897
Q6ZMJ2,Scavenger receptor class A member 5,0,depleted,69955.3125,1726,0.42351824334611
O00139,Kinesin-like protein KIF2A,0,depleted,69926.875,1727,0.423346079151358
Q9HAT2,Sialate O-acetylesterase,0,depleted,69541.33203125,1728,0.421011953621443
Q5JRA6,Transport and Golgi organization protein 1 homolog,0,depleted,69155.453125,1729,0.418675794283733
P22234,Multifunctional protein ADE2,0,depleted,68946.765625,1730,0.417412373962248
P57737,Coronin-7,0,depleted,68869.4453125,1731,0.416944267084376
P40261,Nicotinamide N-methyltransferase,0,depleted,68747.25,1732,0.416204481323357
P23919,Thymidylate kinase,0,depleted,68199.6640625,1733,0.41288932731942
Q5VW32,BRO1 domain-containing protein BROX,0,depleted,68151.1015625,1734,0.412595323848383
P52888,Thimet oligopeptidase,0,depleted,67901.09375,1735,0.411081745168096
Q06124,Tyrosine-protein phosphatase non-receptor type 11,0,depleted,67797.078125,1736,0.410452021517293
Q99685,Monoglyceride lipase,0,depleted,67768.8515625,1737,0.410281134364645
Q96GG9,DCN1-like protein 1,0,depleted,67754.5859375,1738,0.410194768480135
Q96C86,m7GpppX diphosphatase,0,depleted,67533.6484375,1739,0.408857185120912
Q9NQS3,Nectin-3,0,depleted,67462.60546875,1740,0.408427082070095
Q9Y4C0,Neurexin-3,0,depleted,67409.5234375,1741,0.408105716789535
P50053,Ketohexokinase,0,depleted,67045.2578125,1742,0.405900406969621
O95777,U6 snRNA-associated Sm-like protein LSm8,0,depleted,66806.21875,1743,0.404453234478738
P36507,Dual specificity mitogen-activated protein kinase kinase 2,0,depleted,66583.3515625,1744,0.403103968549157
P00326,Alcohol dehydrogenase 1C,0,depleted,66561.953125,1745,0.402974419722392
O43633,Charged multivesicular body protein 2a,0,depleted,66508.4140625,1746,0.402650287517273
P40306,Proteasome subunit beta type-10,0,depleted,66357.9453125,1747,0.401739330816472
P30040,Endoplasmic reticulum resident protein 29,0,depleted,66338.1171875,1748,0.401619288858703
Q92876,Kallikrein-6,0,depleted,65905.8671875,1749,0.39900239309848
Q9H845,"Complex I assembly factor ACAD9, mitochondrial",0,depleted,65888.9140625,1750,0.398899756751609
A0A075B6I4,Immunoglobulin lambda variable 10-54,0,depleted,65818.421875,1751,0.398472988199619
Q96NU7,Probable imidazolonepropionase,0,depleted,65816.921875,1752,0.398463907011324
O60506,Heterogeneous nuclear ribonucleoprotein Q,0,depleted,65790.0234375,1753,0.398301060494146
Q9Y3F4,Serine-threonine kinase receptor-associated protein,0,depleted,65757.890625,1754,0.398106524413648
Q09327,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",0,depleted,65746.1328125,1755,0.398035341140818
Q9UI42,Carboxypeptidase A4,0,depleted,65264.12890625,1756,0.395117228986563
P35637,RNA-binding protein FUS,0,depleted,65237.1328125,1757,0.394953791246188
Q9NR12,PDZ and LIM domain protein 7,0,depleted,65222.22265625,1758,0.394863523288583
Q8N1Q1,Carbonic anhydrase 13,0,depleted,65000.10546875,1759,0.393518797953148
Q9UHL4,Dipeptidyl peptidase 2,0,depleted,64822.3125,1760,0.392442417002033
